Field_ID,Species,LiveSeed_Per_Acre,Origin,
Antelope11005,Chamaecrista fasciculata,0.2,IA,
Antelope11005,Mimosa nuttallii,0.01,MO,
Antelope11005,Eragrostis trichodes ,0.02,KS,
Antelope11005,Trifolium pratense,0.25,OR,
Antelope11005,Rudbeckia hirta,0.03,USA,
Antelope11005,Koeleria macrantha,0.03,OR,
Antelope11005,Dalea candida,0.1,MN,
Antelope11005,Helianthus maximiliani,0.02,OK,
Antelope11005,Desmanthus illinoensis,0.15,OK,
Antelope11005,Ratibida pinnata,0.02,USA,
Antelope11005,Artemisia frigida,0.01,USA,
Antelope11005,Heliopsis helianthoides,0.05,USA,
Antelope11005,Brickellia eupatorioides,0.005,IA,
Antelope11005,Artemisia ludoviciana,0.01,CO,
Antelope11005,Oenothera biennis,0.02,USA,
Antelope11005,Astragalus canadensis,0.03,MN,
Antelope11005,Dalea purpurea,0.1,MN,
Antelope11002,Trifolium pratense,0.25,OR,
Antelope11002,Lespedeza capitata,0.02,IA,1.69
Antelope11002,Liatris squarrosa,0.01,NC,
Antelope11002,Mimosa nuttallii,0.01,MO,
Antelope11002,Penstemon grandiflorus,0.01,NE,
Antelope11002,Chamaecrista fasciculata,0.2,NE,
Antelope11002,Dalea villosa,0.01,NE,
Antelope11002,Solidago rigida,0.01,IA,
Antelope11002,Helianthus pauciflorus,0.01,ND,
Antelope11002,Ratibida columnifera,0.04,OR,
Antelope11002,Rosa woodsii,0.01,UT,
Antelope11002,Achillea millefolium,0.03,OR,
Antelope11002,Dalea candida,0.1,MN,
Antelope11002,Tradescantia occidentalis,0.01,IA,
Antelope11002,Monarda fistulosa,0.01,IA,
Antelope11002,Campanula americana,0.005,IA,
Antelope11002,Schizachyrium scoparium,0.2,NE,
Antelope11002,Koeleria macrantha,0.03,WA,
Antelope11002,Bouteloua curtipendula,0.1,NE,
Antelope11002,Rosa arkansana,0.01,NE,
Antelope11002,Helianthus mollis,0.01,IA,
Antelope11002,Rudbeckia hirta,0.03,OR,
Antelope11002,Astragalus canadensis,0.03,MN,
Antelope11002,Oenothera biennis,0.02,IA,
Antelope11002,Asclepias syriaca,0.01,MI,
Antelope11002,Silphium laciniatum,0.01,IA,
Antelope11002,Artemisia ludoviciana,0.01,WY,
Antelope11002,Silphium integrifolium,0.01,IA,
Antelope11002,Heliopsis helianthoides,0.05,NE,
Antelope11002,Brickellia eupatorioides,0.005,IA,
Antelope11002,Oenothera rhombipetala,0.005,NE,
Antelope11002,Dalea leporina,0.03,NE,
Antelope11002,Ratibida pinnata,0.02,NE,
Antelope11002,Verbena stricta,0.01,NE,
Antelope11002,Desmanthus illinoensis,0.2,IA,
Antelope11002,Amorpha canescens,0.03,NE,
Antelope11002,Helianthus maximiliani,0.02,NE,
Antelope11002,Helianthus petiolaris,0.01,IA,
Antelope11002,Potentilla arguta,0.005,IA,
Antelope11002,Dalea purpurea,0.1,IA,
Antelope11025A,Schizachyrium scoparium,0.2,NE,
Antelope11025A,Koeleria macrantha,0.03,WA,
Antelope11025A,Eragrostis trichodes ,0.04,KS,
Antelope11025A,Bouteloua curtipendula,0.1,NE,
Antelope11025A,Rosa arkansana,0.01,NE,
Antelope11025A,Helianthus mollis,0.01,IA,
Antelope11025A,Rudbeckia hirta,0.03,OR,
Antelope11025A,Astragalus canadensis,0.03,MN,
Antelope11025A,Oenothera biennis,0.02,IA,
Antelope11025A,Asclepias syriaca,0.01,NE,
Antelope11025A,Silphium laciniatum,0.01,IA,
Antelope11025A,Artemisia ludoviciana,0.01,WY,
Antelope11025A,Tradescantia occidentalis,0.01,IA,
Antelope11025A,Lotus unifoliolatus,0.01,FL,
Antelope11025A,Silphium integrifolium,0.01,IA,
